	patternID	MeanP1	MeanP2	MeanRatio12	MeanRatioAbs	MedianP1	MedianP2	MedianRatio12	Welch	Wilcoxon	Kolmogorov
K1	K1	16.271671667023607	29.921278144074247	0.5438160625585003	0.45618393744149965	16.16118084361364	28.499573106706233	0.567067470909418	3.867098174096948e-06	0.0014380398755619468	0.00023733188746644096
F4b	F4b	1.4988444098471305	2.2703027813723526	0.6601958215214391	0.3398041784785609	1.616118084361364	1.7435246637283988	0.926925851972834	0.10249705484204336	0.30284444399934707	0.49568486778103027
C2a	C2a	8.123086730179345	5.63241613914546	1.4422028716449462	0.4422028716449462	8.2904990880451	5.671738419534383	1.4617209883105091	0.044189317335393156	0.029219384866648705	0.0681643907473033
G7e	G7e	3.238677624940816	3.7011983519912364	0.8750348716651903	0.12496512833480966	3.411998862667046	3.440967141856274	0.9915813554751015	0.5408765075174647	0.6317722839808395	0.46487155036669936
J3a	J3a	4.752589855732292	5.21707228057451	0.9109687579812141	0.08903124201878587	5.387060281204547	3.5233508650969236	1.5289593592749	0.6935166036802167	0.5332818999878315	0.34053778786628974
F6d	F6d	6.026801728596732	4.953008195547386	1.2167962358738853	0.2167962358738853	5.686664771111743	4.796345795150268	1.1856244345142604	0.17610731339881155	0.16459626082047452	0.13896430729390608
C1a	C1a	14.953424335963602	14.967013621471192	0.9990920509694675	0.0009079490305324844	13.715629286134151	15.28937003343173	0.897069614781027	0.994803775396099	0.6148268070845364	0.6827267608734229
G1c	G1c	13.339047708127367	16.845311971441777	0.7918551897847558	0.20814481021524422	11.976047904191617	16.04026749744169	0.7466239516332408	0.08493693201490611	0.044137555637092256	0.015141643804938654
F2a	F2a	17.049244064513143	15.49544519631529	1.1002745547811905	0.10027455478119052	18.160149821236026	13.618094071499328	1.3335309424274884	0.348431965631002	0.23088408514416492	0.18070557851325963
A2	A2	2.4690264039864562	2.006036144088993	1.2307985632559049	0.23079856325590486	2.2965628109928806	1.7506304268885722	1.3118490206248075	0.37183564014130677	0.42909816109859056	0.6079267896882778
F2b	F2b	17.049244064513143	15.49544519631529	1.1002745547811905	0.10027455478119052	18.160149821236026	13.618094071499328	1.3335309424274884	0.348431965631002	0.23088408514416492	0.18070557851325963
B1	B1	77.1044130130876	65.74962501277192	1.1726973803745386	0.17269738037453863	79.18978613370685	63.09046577317505	1.2551783405500614	0.0786908300815015	0.07620133639618838	0.13896430729390608
F5	F5	14.533102393225942	15.414464130225596	0.9428224212302745	0.05717757876972551	14.54489780295491	16.021089779959716	0.907859452928701	0.70975505709245	0.6662426497662313	0.8312829615702249
K8	K8	6.563994309496198	6.657711154543002	0.9859235639889973	0.014076436011002724	7.244357759821677	6.538631869489989	1.1079317362434191	0.9276044313051903	0.9046348804461668	0.697888060624473
G9	G9	5.208062236298113	6.983389741210782	0.7457785444175538	0.25422145558244624	3.98066533977822	6.458907910058064	0.6163062541243557	0.1046403177779591	0.11377023239413082	0.09493115424749932
B2a	B2a	5.687300067052978	4.820852122137297	1.1797292103060297	0.17972921030602973	5.9187516814635455	3.5180116126004912	1.6824139125230513	0.278296940251987	0.24034580067187272	0.05734960990619642
B2c	B2c	3.3344355867592985	2.8264857446149745	1.179710739072459	0.17971073907245905	3.8688995744210466	2.127056136908866	1.8188986681072352	0.43968539404376805	0.3258883637864183	0.07112529515883181
G2	G2	5.375050659546766	7.9953004836024135	0.672276254103739	0.32772374589626097	4.41222817522849	7.054652216785379	0.6254352503351006	0.049224298646347434	0.025851364886099713	0.018754870725489425
F1a	F1a	27.399489168632293	30.770575483120147	0.8904444827060176	0.10955551729398239	25.262190920921686	29.277016949241187	0.8628676536520505	0.27133910228465735	0.3753036647597764	0.3527772253279017
F7c	F7c	10.288511577154766	7.944073864559184	1.2951178139281718	0.2951178139281718	10.085092971950836	7.037795179080089	1.4329904061323833	0.03722929332630365	0.06859339210425792	0.013988992565289848
J2b	J2b	0.4468196042188018	0.7175829934391982	0.6226730682134466	0.3773269317865534	0.5380683346785042	0.46363749420573475	1.1605367154325448	0.3094685891931332	0.9236422730909106	0.949723781372548
F3c	F3c	8.759617073502708	14.108471818537714	0.6208763915874199	0.3791236084125801	8.35887433825578	14.391478792871244	0.5808210857664262	0.001693895133736629	0.010350305193623018	0.018217281865812396
E3b	E3b	0.48655695364791623	0.43079882376287043	1.1294296242425284	0.12942962424252835	0.0	0.46129799317732223	2.1677961204438266e-11	0.8192718771816361	0.7282573823042993	0.7097634036500675
G10b	G10b	77.36040835512172	70.02519369385155	1.104751079923299	0.1047510799232989	83.02530565823145	58.38948976496296	1.4219220957818195	0.4224733777734485	0.31422749220417523	0.36677827984438627
