word	F	tc0093	tc0094	tc0096	tc0098	tc0101	tc0113	tc0114	tc0115	tc0116	tc0117	tc0118	tc0163	tc0165	tc0183	tc0189	tc0190	tc0193	tc0196	tc0200	tc0203	tc0204	tc0206	tc0207	tc0219	tc0221	tc0222	tc0224	tc0225	tc0226	tc0227	tc0628	tc0629	tc0630	tc0632	tc0636	tc0637	tc0645	tc0648	tc0649	tc0651	tc0653	tc0654	tc0655	tc0656	tc0657	tc0658	tc0659	tc0661	tc0664
hymen	586	5	6	8	0	7	16	5	3	8	1	7	14	9	12	23	25	24	6	27	18	30	5	14	17	21	20	37	32	12	22	8	16	2	2	14	14	1	7	0	14	0	9	12	7	0	22	17	5	2
courroux	468	16	23	10	9	9	10	7	8	11	9	6	0	11	8	10	7	11	12	12	4	18	20	9	4	7	5	19	15	5	3	10	14	0	8	8	5	2	4	19	23	9	5	2	13	9	6	5	7	21
sein	136	5	2	3	5	4	8	2	3	3	2	8	0	1	0	1	1	0	5	1	0	4	2	0	1	2	0	0	0	3	1	3	6	1	0	1	1	1	0	3	4	7	6	5	2	5	4	7	8	5
Hymen	52	29	2	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	6	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
liens	52	1	0	1	0	0	8	0	1	1	0	1	1	1	0	1	1	1	4	2	1	0	0	0	0	0	2	0	0	0	1	1	5	0	2	2	0	2	1	3	1	0	1	2	3	0	0	0	1	0
lit	40	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	5	0	0	1	0	0	1	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	2	2	7	3	2	2	3	0
flanc	24	0	0	0	0	1	1	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	4	3
lien	17	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	2	0
flancs	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1
