lemma	F	tc0093	tc0094	tc0096	tc0098	tc0101	tc0113	tc0114	tc0115	tc0116	tc0117	tc0118	tc0163	tc0165	tc0183	tc0189	tc0190	tc0193	tc0196	tc0200	tc0203	tc0204	tc0206	tc0207	tc0219	tc0221	tc0222	tc0224	tc0225	tc0226	tc0227	tc0628	tc0629	tc0630	tc0632	tc0636	tc0637	tc0645	tc0648	tc0649	tc0651	tc0653	tc0654	tc0655	tc0656	tc0657	tc0658	tc0659	tc0661	tc0664
ce feu	34	1	5	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	2	0	2	1	0	4	0	1	0	4	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0
ce trouble	34	2	0	0	0	2	2	1	0	0	0	2	0	0	0	0	0	1	0	2	4	2	0	0	1	2	0	1	1	0	3	0	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	2	0	0
ce état	33	0	3	1	1	6	0	2	1	1	1	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	4	0	0	0	0	0	0	1	0	0
ce rival	33	0	7	0	0	1	0	0	0	0	0	1	1	0	1	3	1	3	0	0	3	0	2	0	0	1	1	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ce roi	32	0	0	1	1	2	0	0	0	0	3	0	1	3	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	3	1	1	0	0
ce bruit	31	0	1	1	2	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	2	1	0	2	0	2	1	0	0	0	2	2	3	0
ce effort	31	0	0	1	2	1	0	3	2	2	1	5	0	0	1	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ce rang	31	2	0	3	0	4	2	2	0	0	0	0	2	0	1	0	1	0	1	0	0	2	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	1	0	0	1
ce trône	31	0	1	0	0	0	0	0	0	0	0	0	2	2	3	1	0	2	2	0	0	0	0	0	1	2	0	4	1	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ce désordre	30	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	2	0	1	1	1	0	0	0	0	2	2	3	1	2	0	0	1	1	1	0
ce camp	29	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ce espoir	29	0	1	0	1	0	1	0	0	0	0	1	3	1	1	1	3	0	0	0	1	2	0	0	2	1	1	0	1	1	0	0	0	1	0	0	2	0	0	0	0	1	1	1	0	0	1	0	0	0
ce aveu	28	0	3	2	0	2	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0	2	0	0	1	0	1	0	0	2	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0
ce sang	28	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	1	0	0	0	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	5
ce zèle	28	1	0	1	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	8	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
ce combat	27	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	1	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	7
ce transport	27	0	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	2	0	1	1	1	0	0	1	2	0	2	1	0	0	0	0	0	3	1	1	0	1	0	1	0	0	0
ce mort	26	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	1	2	3	3	2	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
ce enfant	25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0
ce honneur	25	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	1	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	1	1	0	2
